"","Target","Effector","Median_FCC","MAD"
"375","ATPSyn","FBPase",0.0053,0.00785778
"376","CS","FBPase",0.0176,0.03988194
"377","DEVB","FBPase",0.0181,0.03128286
"378","ENO","FBPase",0.0086,0.0318759
"379","FBA","FBPase",-0.0024,0.01497426
"380","FBPase","FBPase",0.3003,0.29088612
"381","FUMC","FBPase",8e-04,0.00474432
"382","GAPD","FBPase",0.0059,0.00859908
"383","GLCO","FBPase",0.0053,0.00934038
"384","GND","FBPase",0.0181,0.03128286
"385","ICD","FBPase",0.0176,0.03988194
"386","MDH","FBPase",-0.0898,0.11668062
"387","ME","FBPase",-0.0173,0.02461116
"388","NADPase","FBPase",0.0053,0.00830256
"389","PDH","FBPase",0.0105,0.05841444
"390","PGI","FBPase",0.0157,0.03543414
"391","PGK","FBPase",0.0059,0.00859908
"392","PGM","FBPase",0.0086,0.0318759
"393","PGP","FBPase",0.0053,0.00934038
"394","PNT","FBPase",0.0056,0.02564898
"395","PPK","FBPase",-0.0206,0.03217242
"396","PRK","FBPase",0.0053,0.00934038
"397","PRSA","FBPase",-0.0065,0.0177912
"398","PTA","FBPase",0.0352,0.07694694
"399","PYK","FBPase",0.1706,0.22935822
"400","RPE","FBPase",0.0044,0.00919212
"401","RPI","FBPase",0.0071,0.01052646
"402","RuBisC","FBPase",0.0053,0.00934038
"403","RuBisO","FBPase",0.0053,0.00934038
"404","SBPase","FBPase",-0.0024,0.01497426
"405","Sink_ACCOA","FBPase",0.0243,0.03157938
"406","Sink_E4P","FBPase",-0.0106,0.02327682
"407","Sink_G6P","FBPase",0.0146,0.03424806
"408","Sink_GLX","FBPase",0.0053,0.00934038
"409","Sink_H2O2","FBPase",0.0053,0.00934038
"410","Sink_O2G","FBPase",0.0176,0.03988194
"411","Sink_OAA","FBPase",-0.0136,0.02134944
"412","Sink_P3G","FBPase",-0.0097,0.01868076
"413","Sink_PRPP","FBPase",-0.0065,0.0177912
"414","Sink_PYR","FBPase",0.03,0.044478
"415","Supply_COA","FBPase",0.0243,0.03157938
"416","Supply_FUM","FBPase",8e-04,0.00474432
"417","Supply_P_i","FBPase",-0.0046,0.00904386
