"","Target","Effector","Median_FCC","MAD"
"338","PGK","TKT2",-2e-04,0.014826
"339","PGM","TKT2",0.0335,0.05915574
"340","PGP","TKT2",0.0021,0.0170499
"341","PNT","TKT2",0.0108,0.0340998
"342","PPK","TKT2",0.0315,0.05367012
"343","PRK","TKT2",0.0021,0.0170499
"344","PRSA","TKT2",0.0073,0.0363237
"345","PTA","TKT2",-0.0753,0.13684398
"346","PYK","TKT2",0.028,0.20474706
"347","RPE","TKT2",0.0029,0.01660512
"348","RPI","TKT2",8e-04,0.01912554
"349","RuBisC","TKT2",0.0021,0.0170499
"350","RuBisO","TKT2",0.0021,0.0170499
"351","SBPase","TKT2",-0.0087,0.014826
"352","Sink_ACCOA","TKT2",-0.0093,0.0326172
"353","Sink_E4P","TKT2",-0.0181,0.0607866
"354","Sink_G6P","TKT2",-0.0641,0.08910426
"355","Sink_GLX","TKT2",0.0021,0.0170499
"356","Sink_H2O2","TKT2",0.0021,0.0170499
"357","Sink_O2G","TKT2",0.0031,0.05737662
"358","Sink_OAA","TKT2",0.0202,0.03528588
"359","Sink_P3G","TKT2",0.0244,0.04047498
"360","Sink_PRPP","TKT2",0.0073,0.0363237
"361","Sink_PYR","TKT2",0.0035,0.04344018
"362","Supply_COA","TKT2",-0.0093,0.0326172
"363","Supply_FUM","TKT2",-0.0022,0.00637518
"364","Supply_P_i","TKT2",5e-04,0.01660512
"365","TAL","TKT2",-0.0248,0.03350676
"366","TKT1","TKT2",0.0056,0.01897728
"367","TKT2","TKT2",0.0011,0.01675338
"368","TPI","TKT2",-0.0014,0.01541904
"369","XFPK1","TKT2",-0.0986,0.15285606
"370","XFPK2","TKT2",0.2391,0.30867732
"371","ZWF","TKT2",-0.0483,0.07279566
"372","ACO","FBPase",0.02,0.0437367
"373","ADK","FBPase",-0.0078,0.0244629
"374","ALD","FBPase",0.3504,0.34826274
"375","ATPSyn","FBPase",0.0066,0.00993342
"376","CS","FBPase",0.02,0.0437367
"377","DEVB","FBPase",0.0303,0.04655364
"378","ENO","FBPase",0.0048,0.04180932
"379","FBA","FBPase",-9e-04,0.01719816
"380","FBPase","FBPase",0.3504,0.34826274
"381","FUMC","FBPase",0.0013,0.00607866
"382","GAPD","FBPase",0.0072,0.01082298
"383","GLCO","FBPase",0.006,0.0118608
"384","GND","FBPase",0.0303,0.04655364
"385","ICD","FBPase",0.02,0.0437367
"386","MDH","FBPase",-0.1162,0.15181824
"387","ME","FBPase",-0.0218,0.03143112
"388","NADPase","FBPase",0.0068,0.01052646
"389","PDH","FBPase",0.0061,0.07220262
"390","PGI","FBPase",0.0285,0.05026014
"391","PGK","FBPase",0.0072,0.01082298
"392","PGM","FBPase",0.0048,0.04180932
"393","PGP","FBPase",0.006,0.0118608
"394","PNT","FBPase",0.0043,0.03172764
"395","PPK","FBPase",-0.0274,0.0415128
"396","PRK","FBPase",0.006,0.0118608
"397","PRSA","FBPase",-0.0078,0.0244629
"398","PTA","FBPase",0.058,0.11208456
"399","PYK","FBPase",0.1716,0.25174548
"400","RPE","FBPase",0.0047,0.0118608
